date_str,merchant,daily_unique_users
20250901,1698202251,1681
20250901,1698202662,1931
20250901,1698203058,9959
20250901,1713329090,7450
20250901,1716179958,23373
20250901,1718444707,6
20250901,1719571148,232
20250901,1723801345,602
20250901,1735282015,1
20250901,1737978166,19888
20250901,1740973068,64
20250901,1741762027,2525
20250901,1741932733,124
20250901,1742280059,1
20250901,1742289481,26
20250901,1746793106,43
20250901,1747388774,37
20250901,1749463700,835
20250901,1750647418,2
20250901,1750647705,1
20250901,1750648058,1
20250901,1750648580,3
20250901,1750649209,1
20250901,1750649540,1
20250901,1750649868,2
20250901,1750650330,1
20250901,1750650532,1
20250901,1750662197,1
20250901,1750762420,345
20250901,1751255752,1
20250901,1751256462,1
20250901,1751256811,4
20250901,1751602642,21992
20250901,1751612625,1
20250901,1751613252,3
20250901,1751615402,1
20250901,1751632483,445
20250901,1752222840,8
20250901,1752566036,50
20250901,1753174385,2
20250901,1753353246,2
20250901,1754281426,121
20250901,1755248023,478
20250901,1756280066,796
20250902,1698202251,1276
20250902,1698202662,1039
20250902,1698203058,8375
20250902,1713329090,9285
20250902,1716179958,18815
20250902,1718444707,13
20250902,1719571148,288
20250902,1723801345,569
20250902,1737978166,20964
20250902,1740973068,76
20250902,1741762027,2503
20250902,1741932733,166
20250902,1742280059,5
20250902,1742289481,28
20250902,1746793106,35
20250902,1747388774,58
20250902,1749463700,711
20250902,1750647002,3
20250902,1750647705,1
20250902,1750649868,2
20250902,1750650330,1
20250902,1750650532,2
20250902,1750662197,1
20250902,1750762420,380
20250902,1751255752,1
20250902,1751256811,2
20250902,1751602642,12658
20250902,1751615402,1
20250902,1751632483,519
20250902,1752206048,7
20250902,1752222840,8
20250902,1752566036,51
20250902,1753174385,1
20250902,1753353246,1
20250902,1754281426,68
20250902,1755248023,496
20250902,1756280066,1743
20250903,1698202251,1652
20250903,1698202662,886
20250903,1698203058,6946
20250903,1713329090,7452
20250903,1716179958,18065
20250903,1718444707,15
20250903,1719571148,306
20250903,1723801345,596
20250903,1737978166,20082
20250903,1740973068,79
20250903,1741762027,2501
20250903,1741932733,161
20250903,1742280059,5
20250903,1742289481,53
20250903,1746793106,39
20250903,1747388774,40
20250903,1749463700,736
20250903,1749627491,3
20250903,1750647705,1
20250903,1750648580,2
20250903,1750649540,1
20250903,1750649868,3
20250903,1750650330,1
20250903,1750650532,2
20250903,1750662197,1
20250903,1750762420,368
20250903,1751255752,1
20250903,1751256811,5
20250903,1751602642,10086
20250903,1751612625,2
20250903,1751613252,4
20250903,1751613789,2
20250903,1751615057,1
20250903,1751615160,2
20250903,1751615284,1
20250903,1751615402,1
20250903,1751615500,1
20250903,1751632483,474
20250903,1752206048,19
20250903,1752222840,4
20250903,1752566036,23
20250903,1753353246,5
20250903,1753698976,2
20250903,1754281426,69
20250903,1754913084,1
20250903,1755248023,459
20250903,1756280066,1646
20250904,1698202251,1202
20250904,1698202662,854
20250904,1698203058,6725
20250904,1713329090,6392
20250904,1716179958,16886
20250904,1718444707,7
20250904,1719571148,327
20250904,1723801345,604
20250904,1737978166,19993
20250904,1740973068,83
20250904,1741762027,2574
20250904,1741932733,141
20250904,1742280059,5
20250904,1742289481,39
20250904,1746793106,34
20250904,1747388774,63
20250904,1749463700,1081
20250904,1749627491,2
20250904,1750647705,2
20250904,1750649868,1
20250904,1750650532,1
20250904,1750662197,1
20250904,1750762420,439
20250904,1751255752,1
20250904,1751256811,4
20250904,1751602642,8565
20250904,1751612625,1
20250904,1751613252,2
20250904,1751613789,4
20250904,1751615057,1
20250904,1751615160,2
20250904,1751615402,3
20250904,1751615500,1
20250904,1751632483,505
20250904,1752206048,2
20250904,1752222840,5
20250904,1752566036,44
20250904,1753353246,12
20250904,1753698976,1
20250904,1754281426,43
