period_range,merchant,weekly_unique_users,active_days
20251013-20251019,1737978166,152027,7
20251013-20251019,1716179958,126626,7
20251013-20251019,1698203058,54433,7
20251013-20251019,1713329090,42609,7
20251013-20251019,1751602642,29145,7
20251013-20251019,1741762027,17206,7
20251013-20251019,1698202251,8098,7
20251013-20251019,1755248023,8097,7
20251013-20251019,1751632483,7256,7
20251013-20251019,1698202662,6031,7
20251013-20251019,1756280066,5778,7
20251013-20251019,1749463700,4173,7
20251013-20251019,1723801345,3684,7
20251013-20251019,1757738096,3358,7
20251013-20251019,1750762420,1550,7
20251013-20251019,1741932733,1504,7
20251013-20251019,1757302420,1035,7
20251013-20251019,1755246422,1025,4
20251013-20251019,1719571148,703,7
20251013-20251019,1756783981,680,5
20251013-20251019,1750413710,545,7
20251013-20251019,1718444707,409,7
20251013-20251019,1753353246,402,7
20251013-20251019,1747388774,298,7
20251013-20251019,1752747448,286,7
20251013-20251019,1753174385,246,7
20251013-20251019,1752566036,198,7
20251013-20251019,1754281426,176,7
20251013-20251019,1760338096,119,7
20251013-20251019,1742289481,80,7
20251013-20251019,1752222840,27,7
20251013-20251019,1751613789,21,7
20251013-20251019,1742280059,17,7
20251013-20251019,1749627491,15,7
20251013-20251019,1751256811,15,7
20251013-20251019,1751615500,13,6
20251013-20251019,1751612625,11,7
20251013-20251019,1757657097,11,4
20251013-20251019,1754913084,10,5
20251013-20251019,1751615160,9,6
20251013-20251019,1752206048,9,3
20251013-20251019,1750649868,9,7
20251013-20251019,1750647418,8,4
20251013-20251019,1751613252,8,5
20251013-20251019,1750649540,8,6
20251013-20251019,1751615402,8,6
20251013-20251019,1735282015,6,5
20251013-20251019,1751615057,6,5
20251013-20251019,1751255752,5,5
20251013-20251019,1755486340,5,3
20251013-20251019,1751613072,5,4
20251013-20251019,1758528494,5,1
20251013-20251019,1751615284,5,3
20251013-20251019,1750647705,4,3
20251013-20251019,1758696175,3,3
20251013-20251019,1757656822,3,3
20251013-20251019,1750646521,3,3
20251013-20251019,1758629060,3,2
20251013-20251019,1757656943,3,3
20251013-20251019,1750648058,3,2
20251013-20251019,1750648580,2,1
20251013-20251019,1760608379,2,1
20251013-20251019,1750649720,2,2
20251013-20251019,1757656640,2,2
20251013-20251019,1750650532,2,2
20251013-20251019,1750649209,2,2
20251013-20251019,1750648292,1,1
20251013-20251019,1758696142,1,1
20251013-20251019,1760608478,1,1
20251013-20251019,1750650330,1,1
20251013-20251019,1750662197,1,1
20251013-20251019,1751256462,1,1
20251013-20251019,1750647002,1,1
