period_range,merchant,monthly_unique_users,active_days
20250901-20250930,1737978166,595378,30
20250901-20250930,1716179958,574053,30
20250901-20250930,1751602642,263905,30
20250901-20250930,1698203058,234274,30
20250901-20250930,1713329090,195527,30
20250901-20250930,1741762027,76098,30
20250901-20250930,1698202251,37694,30
20250901-20250930,1756280066,34084,30
20250901-20250930,1698202662,29021,30
20250901-20250930,1755248023,22418,30
20250901-20250930,1751632483,22186,30
20250901-20250930,1749463700,21154,30
20250901-20250930,1723801345,17032,30
20250901-20250930,1750762420,10750,30
20250901-20250930,1719571148,6652,30
20250901-20250930,1755246422,5789,21
20250901-20250930,1741932733,5649,30
20250901-20250930,1757302420,4612,23
20250901-20250930,1754281426,3745,30
20250901-20250930,1757738096,1675,17
20250901-20250930,1747388774,1400,30
20250901-20250930,1750413710,1394,19
20250901-20250930,1752566036,1329,30
20250901-20250930,1753353246,1211,30
20250901-20250930,1740973068,851,12
20250901-20250930,1746793106,657,30
20250901-20250930,1742289481,550,30
20250901-20250930,1753174385,458,24
20250901-20250930,1718444707,451,30
20250901-20250930,1752206048,270,22
20250901-20250930,1752222840,184,30
20250901-20250930,1742280059,122,30
20250901-20250930,1751256811,95,28
20250901-20250930,1751613789,60,24
20250901-20250930,1750649540,48,27
20250901-20250930,1751615057,45,24
20250901-20250930,1751613252,45,24
20250901-20250930,1750662197,45,29
20250901-20250930,1750649868,44,30
20250901-20250930,1757387300,38,2
20250901-20250930,1751615284,37,22
20250901-20250930,1751615160,32,24
20250901-20250930,1749627491,30,19
20250901-20250930,1751612625,28,22
20250901-20250930,1750649209,27,17
20250901-20250930,1751615402,27,20
20250901-20250930,1750647705,18,13
20250901-20250930,1750650532,18,12
20250901-20250930,1750647418,15,12
20250901-20250930,1751255752,15,15
20250901-20250930,1750648580,14,10
20250901-20250930,1751615500,13,10
20250901-20250930,1754913084,13,11
20250901-20250930,1750650330,13,11
20250901-20250930,1751613072,11,9
20250901-20250930,1750647002,11,8
20250901-20250930,1750648058,10,10
20250901-20250930,1752747448,9,4
20250901-20250930,1735282015,9,6
20250901-20250930,1750649720,8,7
20250901-20250930,1750646521,8,8
20250901-20250930,1751256462,4,4
20250901-20250930,1750650168,3,3
20250901-20250930,1753698976,3,2
20250901-20250930,1757656822,2,1
20250901-20250930,1750648292,1,1
20250901-20250930,1751438771,1,1
