period_range,merchant,game_id,weekly_unique_users,active_days
20251013-20251019,1737978166,1698217738766,48328,7
20251013-20251019,1716179958,1698217737303,46821,7
20251013-20251019,1737978166,1698217738739,35263,7
20251013-20251019,1737978166,1698217741337,25225,7
20251013-20251019,1751602642,1698217741378,24641,7
20251013-20251019,1716179958,1698217741317,24510,7
20251013-20251019,1737978166,1698217739455,23776,7
20251013-20251019,1698203058,1698217738034,21666,7
20251013-20251019,1737978166,1698217740513,19037,7
20251013-20251019,1713329090,1698217738052,18592,7
20251013-20251019,1713329090,1698217738231,12647,7
20251013-20251019,1698203058,1698217738213,9406,7
20251013-20251019,1716179958,1698217738239,9159,7
20251013-20251019,1698203058,1698217737098,8772,7
20251013-20251019,1737978166,1698217741901,7852,7
20251013-20251019,1698203058,1698217738519,7210,7
20251013-20251019,1741762027,1698217738833,7070,7
20251013-20251019,1741762027,1698217738834,6855,7
20251013-20251019,1737978166,1698217738747,6649,7
20251013-20251019,1716179958,1698217737323,6229,7
20251013-20251019,1698203058,1698217738417,6150,7
20251013-20251019,1713329090,1698217738435,5904,7
20251013-20251019,1713329090,1698217737116,5687,7
20251013-20251019,1737978166,1698217740157,5467,7
20251013-20251019,1751632483,1698217741236,5386,7
20251013-20251019,1716179958,1698217739435,5206,7
20251013-20251019,1737978166,1698217738743,5117,7
20251013-20251019,1737978166,1698217738765,5006,7
20251013-20251019,1716179958,1698217737305,4842,7
20251013-20251019,1737978166,1698217741657,4779,7
20251013-20251019,1716179958,1698217739010,4758,7
20251013-20251019,1755248023,1698217743229,3744,7
20251013-20251019,1756280066,1698217743604,3079,7
20251013-20251019,1698203058,1698217736029,3071,7
20251013-20251019,1737978166,1698217738749,2689,7
20251013-20251019,1698202251,1698217738514,2603,7
20251013-20251019,1716179958,1698217737312,2585,7
20251013-20251019,1723801345,1698217738133,2552,7
20251013-20251019,1755248023,1698217743230,2532,7
20251013-20251019,1757738096,1698217743607,2157,7
20251013-20251019,1749463700,1698217739276,2111,7
20251013-20251019,1716179958,1698217737308,2033,7
20251013-20251019,1716179958,1698217738060,1996,7
20251013-20251019,1756280066,1698217743607,1995,7
20251013-20251019,1716179958,1698217737314,1972,7
20251013-20251019,1713329090,1698217737252,1898,7
20251013-20251019,1716179958,1698217737318,1847,7
20251013-20251019,1716179958,1698217737325,1840,7
20251013-20251019,1716179958,1698217737321,1794,7
20251013-20251019,1713329090,1698217738537,1794,7
20251013-20251019,1716179958,1698217737319,1750,7
20251013-20251019,1737978166,1698217738757,1649,7
20251013-20251019,1698203058,1698217738264,1642,7
20251013-20251019,1757738096,1698217743604,1518,7
20251013-20251019,1698203058,1698217737234,1498,7
20251013-20251019,1698202251,1698217738259,1488,7
20251013-20251019,1737978166,1698217738741,1439,7
20251013-20251019,1741762027,1698217739457,1336,7
20251013-20251019,1751602642,1698217740575,1295,7
20251013-20251019,1751632483,1698217741202,1253,7
20251013-20251019,1698202662,1698217738413,1234,7
20251013-20251019,1698202251,1698217738412,1222,7
20251013-20251019,1698203058,1698217737758,1222,7
20251013-20251019,1716179958,1698217737311,1212,7
20251013-20251019,1698203058,1698217737270,1202,7
20251013-20251019,1716179958,1698217737326,1195,7
20251013-20251019,1698202251,1698217738310,1194,7
20251013-20251019,1698202662,1698217738260,1179,7
20251013-20251019,1716179958,1698217737316,1100,7
20251013-20251019,1737978166,1698217738761,1098,7
20251013-20251019,1737978166,1698217738764,1095,7
20251013-20251019,1749463700,1698217739283,1083,7
20251013-20251019,1741762027,1698217741339,1042,7
20251013-20251019,1698203058,1698217738366,979,7
20251013-20251019,1751602642,1698217740591,963,7
20251013-20251019,1713329090,1698217736875,945,7
20251013-20251019,1737978166,1698217738751,942,7
20251013-20251019,1749463700,1698217739280,930,7
20251013-20251019,1751602642,1698217740588,930,7
20251013-20251019,1698202662,1698217738515,922,7
20251013-20251019,1737978166,1698217738737,892,7
20251013-20251019,1698203058,1698217736850,886,7
20251013-20251019,1755248023,1698217743239,882,7
20251013-20251019,1756280066,1698217743605,850,7
20251013-20251019,1698203058,1698217736658,838,7
20251013-20251019,1716179958,1698217740493,822,7
20251013-20251019,1698202662,1698217736097,792,7
20251013-20251019,1751602642,1698217740582,780,7
20251013-20251019,1698203058,1698217739409,776,7
20251013-20251019,1716179958,1698217737317,768,7
20251013-20251019,1737978166,1698217738744,753,7
20251013-20251019,1698203058,1698217736401,742,7
